PC1,PC2
9.927807,-0.17869808
7.4938903,0.11709307
-18.425848,-16.268633
-22.36819,-17.428465
-19.576118,-18.091751
9.5106,-0.40866432
-24.65212,23.866346
6.978212,-1.0182816
8.668585,-0.32477602
8.528932,0.18470189
8.482773,-0.5729547
7.9639153,-0.22585292
7.4828696,0.08632746
1.8253995,-0.53152156
-24.116344,22.073328
7.8302965,-0.4398532
6.572441,0.7730674
-23.7561,-25.706783
-24.329828,26.762802
8.815922,-0.3809439
-3.6190844,-2.428515
-33.058407,28.31424
8.864813,0.24153903
-17.354652,-14.264531
10.007163,0.32454655
8.623444,-0.58582526
9.911371,-0.56451386
9.192748,0.67626935
9.400295,-0.24419814
8.4083605,-0.585907
9.616787,-0.649722
5.9801645,2.120561
-9.476166,-9.270853
9.398448,-0.06535248
4.364728,0.3140841
7.183017,-0.60084695
9.996364,0.4199626
8.409005,-0.12932494
7.761333,-0.29549512
4.8831215,0.60313547
-17.113888,-5.9253054
5.432676,-0.45661682
-17.776228,16.764303
9.414294,-0.16317849
9.753438,0.3452631
8.05601,0.47583607
8.527533,-0.5088586
7.5391273,-0.20334701
9.389524,-0.39755946
10.29509,0.67298
9.746542,-0.26309997
8.7753105,-0.5454349
3.5051603,-1.9102048
9.591084,-0.60879457
9.506016,1.1203744
9.957192,-0.0136164995
9.813415,-0.41368362
9.26103,0.06333711
8.850332,0.09991472
-13.937802,-8.792564
9.416568,-0.07038076
-20.90499,-15.098114
8.8017,0.43375263
8.599441,0.4027426
8.2233095,0.15953316
-12.425715,1.6294931
8.760572,-0.26172408
8.916805,-0.30055243
9.817665,-0.25969914
-29.995653,26.202156
9.307409,-0.6822715
3.3838367,3.46002
-22.511068,22.190668
7.8515315,-0.495889
7.559454,-0.8588515
-4.809967,-4.1197915
-19.710056,20.868105
7.6038656,-0.31998545
5.5220027,1.3189442
-20.053932,-14.64124
9.161279,0.18206656
-37.87756,20.579819
9.798993,-0.01698098
-23.781788,5.606738
-30.230816,24.351276
7.4844856,-0.3614695
9.5130205,-0.41284823
8.728165,-0.8483598
10.155789,0.32795507
8.504933,1.5027623
-21.535475,7.5138235
9.965371,-0.22726113
-12.619824,-10.396716
4.90858,-1.0264965
8.93061,-0.0127888005
6.155396,0.027592923
-11.463504,-0.6301089
-15.554899,-13.546533
-20.63014,-16.047401
-16.540462,-22.99501
-20.131144,-13.712536
-20.18336,24.700737
9.638222,-1.3177924
