PC,Variance
PC1,0.27592619381937955
PC2,0.10005972144486096
PC3,0.08682760232198859
PC4,0.06998610694849164
PC5,0.0627717357974325
PC6,0.05943817911178157
PC7,0.039912912691274345
PC8,0.02848405887374056
PC9,0.027607498039074155
PC10,0.025082372058256343
PC11,0.018086474555576323
PC12,0.015174695843157065
PC13,0.013542809040582377
PC14,0.01202298258560562
PC15,0.011501693168043208
PC16,0.010437115848874233
PC17,0.00905335559113837
PC18,0.008274801204585808
PC19,0.0070884998272662215
PC20,0.006778887650610415
PC21,0.006654236379348513
PC22,0.0060431769415409415
PC23,0.005722890686792351
PC24,0.005379739309542465
PC25,0.005030089567396879
PC26,0.0046051152237778425
PC27,0.004425951974942812
PC28,0.00430489193494454
PC29,0.0042080310182651594
PC30,0.003943417744605565
PC31,0.0038943253881342883
PC32,0.003805023422432853
PC33,0.0037690114068271038
PC34,0.0035354649232659926
PC35,0.003437006538124335
PC36,0.003312633833403127
PC37,0.0032757945788216766
PC38,0.0031802485986158423
PC39,0.0030994952418135304
PC40,0.0030799820769993355
PC41,0.0029846467937022004
PC42,0.0029163787206089105
PC43,0.0028672303752331697
PC44,0.002775709865123113
PC45,0.0026849580877595525
PC46,0.0026567992708815703
PC47,0.0026465639194280717
PC48,0.0026012088622189467
PC49,0.0025710259719074614
PC50,0.0025312549218218954
