"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.03508441531577e-293,4.27121141024288,0.597,0.074,2.30202773966226e-289,"0","Fbn2"
1.46622245573566e-65,4.24345321055078,0.295,0.084,3.2608787415561e-61,"0","Saa3"
0,4.17803454834733,0.753,0.091,0,"0","Slit2"
0,4.14589780370001,0.907,0.282,0,"0","Mmp3"
5.43789791348833e-268,3.71842778168124,0.558,0.07,1.2093884959598e-263,"0","Cpz"
8.31813058900925e-184,3.59450864392933,0.332,0.026,1.84995224299566e-179,"0","Hmgcs2"
8.34855657225064e-288,3.55417004846875,0.529,0.049,1.85671898166854e-283,"0","Kng2"
0,3.53376737258412,0.661,0.079,0,"0","Nfasc"
0,3.51357653786351,0.69,0.082,0,"0","Masp1"
0,3.50006058191726,0.946,0.19,0,"0","Fbln7"
6.80001042835767e-93,3.0995484683003,0.384,0.089,1.51232231926675e-88,"1","Ccl24"
5.81545418860275e-83,2.31174857495138,0.601,0.271,1.29335701154525e-78,"1","Tnfsf13"
6.00885649269639e-237,2.30683594869668,0.993,0.4,1.33636968397568e-232,"1","Ccl9"
7.93072457226989e-97,2.29561811412406,0.635,0.27,1.76379314487282e-92,"1","Ass1"
9.09176099678492e-35,2.28564800505213,0.302,0.121,2.02200764568497e-30,"1","Fxyd2"
1.2774547624648e-43,2.2852060018244,0.344,0.133,2.84105939172172e-39,"1","Flrt3"
4.26718101962283e-133,2.26090293240955,0.848,0.421,9.49021058764117e-129,"1","Spp1"
1.78382078290427e-178,2.23278008011408,0.818,0.278,3.96721742117909e-174,"1","Fcgr2b"
4.8287947070551e-29,2.22333204766189,0.496,0.329,1.07392394284905e-24,"1","AA467197"
4.98034371756609e-109,2.20460995373151,0.705,0.288,1.1076284427867e-104,"1","Cxcl3"
2.95026016648127e-112,4.09953142307234,0.289,0.032,6.56137861025434e-108,"2","Mt3"
1.64361638894646e-216,3.75801854310326,0.51,0.053,3.65540284901692e-212,"2","Ksr2"
8.14067860084698e-256,3.37735304469986,0.648,0.079,1.81048692082837e-251,"2","Atp6v0d2"
7.76292951993331e-193,3.34334974079768,0.4,0.031,1.72647552523317e-188,"2","Cdk18"
3.45001274323506e-176,3.33595833395416,0.884,0.375,7.67282834095477e-172,"2","Mmp12"
8.00976783304509e-142,3.33387122853385,0.65,0.175,1.78137236606923e-137,"2","Lyz1"
6.82204972246774e-92,3.32515796332501,0.252,0.03,1.51722385827683e-87,"2","Gabbr2"
0,3.18298444057603,0.967,0.202,0,"2","Trem2"
2.79656060493382e-274,3.17644546525494,0.947,0.227,6.21955078537282e-270,"2","Pf4"
5.49821075210545e-226,3.15159185271704,0.816,0.188,1.22280207126825e-221,"2","C1qb"
1.21671090493542e-60,2.75180051960852,0.268,0.042,2.70596505257637e-56,"3","Adamts19"
3.78232298343585e-98,2.6425505355889,0.705,0.205,8.41188631516133e-94,"3","Ptx3"
9.67147493106959e-163,2.62207873098725,0.701,0.114,2.15093602466988e-158,"3","1700019D03Rik"
2.75437104997714e-108,2.61163789778773,0.47,0.074,6.12572121514917e-104,"3","Col6a5"
1.2066435952001e-91,2.51702796012803,0.409,0.064,2.68357535572502e-87,"3","Gm12796"
