"","PC","Variance"
"1","PC1",0.211591882640642
"2","PC2",0.131061817757396
"3","PC3",0.0592079607792173
"4","PC4",0.0581082892507481
"5","PC5",0.0491341062849475
"6","PC6",0.0447934235585146
"7","PC7",0.0380959812210895
"8","PC8",0.0346180602519677
"9","PC9",0.0303361961245136
"10","PC10",0.0230068773622481
"11","PC11",0.0221871686749993
"12","PC12",0.0191910928422598
"13","PC13",0.018172550162278
"14","PC14",0.0175812613527845
"15","PC15",0.0154397592506435
"16","PC16",0.0135856481590942
"17","PC17",0.013325707400873
"18","PC18",0.0128423882356005
"19","PC19",0.0112172886615485
"20","PC20",0.0102965731445671
"21","PC21",0.0101624068175562
"22","PC22",0.0098115177189277
"23","PC23",0.00969915368166372
"24","PC24",0.00859502358751183
"25","PC25",0.0078987547989562
"26","PC26",0.00740963129054409
"27","PC27",0.00705475103038404
"28","PC28",0.00681125025823568
"29","PC29",0.00629040900194884
"30","PC30",0.00599899230965386
"31","PC31",0.00571765239759457
"32","PC32",0.00553076818075272
"33","PC33",0.00519835764242758
"34","PC34",0.00505536986684216
"35","PC35",0.00472174450824047
"36","PC36",0.00458005298026897
"37","PC37",0.00453950904904151
"38","PC38",0.00449078204558212
"39","PC39",0.00435535898264632
"40","PC40",0.00433762699577195
"41","PC41",0.00415184223104945
"42","PC42",0.00403567981167787
"43","PC43",0.00402220959392982
"44","PC44",0.00396886642934316
"45","PC45",0.00381567356032997
"46","PC46",0.00370522994361455
"47","PC47",0.00363832055855668
"48","PC48",0.00361028880863934
"49","PC49",0.00352093245880395
"50","PC50",0.00347781034357229
